epoch,loss,mask_mAP,mask_mAP_50,mask_mAP_75,box_mAP,box_mAP_50,box_mAP_75,box_mAP_small,mask_mAP_small
0,0.7121758077015465,0.027565600135638954,0.05831464603339223,0.023072561578996075,0.03367892212336412,0.06313730104511682,0.033432136961742825,0.04640963205899517,0.036114097835908125
1,0.4464013475275668,0.07501362330598761,0.1407723919982582,0.06826406755631548,0.08599395074251133,0.14930810932526922,0.08982621339414575,0.08269380259099994,0.06674235644014213
2,0.38927427322588765,0.1132489490692985,0.21822342660146615,0.10180313303003484,0.13950216013264907,0.23237651275948498,0.14949310908176847,0.1123730574048811,0.08979330616427457
3,0.3659970016814605,0.14094997857541372,0.2906618062257054,0.11770711007690468,0.17513445747112208,0.3026920836181889,0.1872057103746672,0.1655796733823356,0.12348597834205714
4,0.3315440187691595,0.1780229221920581,0.3367218504331897,0.1707478733813617,0.22246494572354575,0.36575494835366745,0.23342467697001126,0.19322610995359044,0.16213517832751892
5,0.31689819514664164,0.19754899264561063,0.379097390347629,0.1827201993342967,0.24413870497960805,0.4045547880376759,0.2545607317997427,0.20848817081694318,0.17571046831595022
6,0.29731359523700585,0.2201745250245607,0.41280389771550086,0.20071218286683878,0.2727139717906247,0.43917462782765093,0.28942399010034875,0.2118586133327919,0.18010230447949577
7,0.2857659760191709,0.21716614995919495,0.4197956310410235,0.20132142150723917,0.27242515194697375,0.44796361505163734,0.28329462290441904,0.23486471838952908,0.19812551699837747
8,0.2746927197122644,0.23517971522905803,0.43914290264442357,0.2304346421932021,0.28787763253870385,0.4594144227583876,0.3114201202232958,0.24564765801723437,0.1941003694680854
9,0.26486967877098966,0.23363854040607412,0.4335005398018389,0.22764766178830118,0.2852038688024409,0.45963257969030563,0.31403635792411977,0.23194946046456066,0.18970555263816127
10,0.25767061336846864,0.23404907924762436,0.44011453675193596,0.230763892677455,0.28355003814023355,0.4491710066409648,0.3048057136613995,0.24294310473236053,0.2024039516450103
